treatment,rep.num,cat.num,time.rep,pred.lvl,notes
cloth,1,1,1,0,
cloth,1,2,1,0,
cloth,1,3,1,0,
cloth,1,4,1,0,
cloth,1,5,1,0,
nov,2,1,1,0,
nov,2,2,1,0,
nov,2,3,1,0,
nov,2,4,1,0,
nov,2,5,1,0,
combo,3,1,1,0,
combo,3,2,1,0,
combo,3,3,1,0,
combo,3,4,1,0,
combo,3,5,1,0,
cloth,4,1,1,0,
cloth,4,2,1,0,
cloth,4,3,1,0,
cloth,4,4,1,0,
cloth,4,5,1,0,
combo,5,1,1,0,
combo,5,2,1,0,
combo,5,3,1,0,
combo,5,4,1,0,
combo,5,5,1,0,
control,5,1,1,0,
control,5,2,1,0,
control,5,3,1,2,
control,5,4,1,0,
control,5,5,1,0,
control,4,1,1,0,
control,4,2,1,0,
control,4,3,1,0,
control,4,4,1,0,
control,4,5,1,0,
nov,3,1,1,0,
nov,3,2,1,0,
nov,3,3,1,0,
nov,3,4,1,0,
nov,3,5,1,0,
control,2,1,1,0,
control,2,2,1,0,
control,2,3,1,0,
control,2,4,1,0,
control,2,5,1,1,
combo,1,1,1,0,
combo,1,2,1,0,
combo,1,3,1,0,
combo,1,4,1,0,
combo,1,5,1,0,
bif,1,1,1,0,
bif,1,2,1,0,
bif,1,3,1,0,
bif,1,4,1,0,
bif,1,5,1,0,
combo,2,1,1,0,
combo,2,2,1,0,
combo,2,3,1,0,
combo,2,4,1,0,
combo,2,5,1,0,
bif,3,1,1,0,
bif,3,2,1,0,
bif,3,3,1,0,
bif,3,4,1,0,
bif,3,5,1,0,
ace,4,1,1,0,
ace,4,2,1,0,
ace,4,3,1,0,
ace,4,4,1,0,
ace,4,5,1,0,
cloth,5,1,1,0,
cloth,5,2,1,0,
cloth,5,3,1,0,
cloth,5,4,1,0,
cloth,5,5,1,0,
ace,5,1,1,0,
ace,5,2,1,0,
ace,5,3,1,0,
ace,5,4,1,0,
ace,5,5,1,0,
nov,4,1,1,0,
nov,4,2,1,0,
nov,4,3,1,0,
nov,4,4,1,0,
nov,4,5,1,0,
cloth,3,1,1,0,
cloth,3,2,1,0,
cloth,3,3,1,0,
cloth,3,4,1,0,
cloth,3,5,1,0,
cloth,2,1,1,0,
cloth,2,2,1,0,
cloth,2,3,1,0,
cloth,2,4,1,0,
cloth,2,5,1,0,
ace,1,1,1,0,
ace,1,2,1,0,
ace,1,3,1,0,
ace,1,4,1,0,
ace,1,5,1,0,
control,1,1,1,0,
control,1,2,1,0,
control,1,3,1,0,
control,1,4,1,0,
control,1,5,1,0,
bif,2,1,1,0,
bif,2,2,1,0,
bif,2,3,1,0,
bif,2,4,1,0,
bif,2,5,1,0,
ace,3,1,1,0,
ace,3,2,1,0,
ace,3,3,1,0,
ace,3,4,1,0,
ace,3,5,1,2,
combo,4,1,1,0,
combo,4,2,1,0,
combo,4,3,1,0,
combo,4,4,1,0,
combo,4,5,1,0,
bif,5,1,1,0,
bif,5,2,1,0,
bif,5,3,1,0,
bif,5,4,1,0,
bif,5,5,1,0,
nov,5,1,1,0,
nov,5,2,1,0,
nov,5,3,1,0,
nov,5,4,1,0,
nov,5,5,1,0,
control,1,1,2,0,
control,1,2,2,2,
control,1,3,2,0,
control,1,4,2,0,
control,1,5,2,0,
bif,2,1,2,0,
bif,2,2,2,0,
bif,2,3,2,0,
bif,2,4,2,0,
bif,2,5,2,0,
ace,3,1,2,2,
ace,3,2,2,0,
ace,3,3,2,2,
ace,3,4,2,0,
ace,3,5,2,0,
combo,4,1,2,0,
combo,4,2,2,0,
combo,4,3,2,0,
combo,4,4,2,0,
combo,4,5,2,0,
bif,5,1,2,0,
bif,5,2,2,0,
bif,5,3,2,0,
bif,5,4,2,0,
bif,5,5,2,0,
nov,5,1,2,1,
nov,5,2,2,0,
nov,5,3,2,0,
nov,5,4,2,0,
nov,5,5,2,0,
bif,4,1,2,0,
bif,4,2,2,0,
bif,4,3,2,0,
bif,4,4,2,0,
bif,4,5,2,0,
control,3,1,2,0,
control,3,2,2,0,
control,3,3,2,0,
control,3,4,2,0,
control,3,5,2,2,
ace,2,1,2,0,
ace,2,2,2,0,
ace,2,3,2,0,
ace,2,4,2,0,
ace,2,5,2,0,
nov,1,1,2,0,
nov,1,2,2,0,
nov,1,3,2,0,
nov,1,4,2,0,
nov,1,5,2,2,ants eating caterpillar
cloth,1,1,2,0,
cloth,1,2,2,2,
cloth,1,3,2,2,
cloth,1,4,2,2,
cloth,1,5,2,2,
nov,2,1,2,0,
nov,2,2,2,0,
nov,2,3,2,0,
nov,2,4,2,0,
nov,2,5,2,0,
combo,3,1,2,0,
combo,3,2,2,0,
combo,3,3,2,0,
combo,3,4,2,0,
combo,3,5,2,0,
cloth,4,1,2,0,
cloth,4,2,2,0,
cloth,4,3,2,0,
cloth,4,4,2,0,
cloth,4,5,2,0,
combo,5,1,2,0,
combo,5,2,2,0,
combo,5,3,2,0,
combo,5,4,2,0,
combo,5,5,2,0,
control,5,1,2,1,
control,5,2,2,0,
control,5,3,2,0,
control,5,4,2,0,
control,5,5,2,0,
control,4,1,2,2,
control,4,2,2,0,
control,4,3,2,2,
control,4,4,2,0,
control,4,5,2,1,
nov,3,1,2,0,
nov,3,2,2,0,
nov,3,3,2,0,
nov,3,4,2,0,
nov,3,5,2,0,
control,2,1,2,0,
control,2,2,2,0,
control,2,3,2,0,
control,2,4,2,0,
control,2,5,2,0,
combo,1,1,2,0,
combo,1,2,2,0,
combo,1,3,2,0,
combo,1,4,2,0,
combo,1,5,2,0,
bif,1,1,2,0,
bif,1,2,2,0,
bif,1,3,2,0,
bif,1,4,2,0,
bif,1,5,2,2,
combo,2,1,2,0,
combo,2,2,2,0,
combo,2,3,2,0,
combo,2,4,2,1,
combo,2,5,2,0,
bif,3,1,2,0,
bif,3,2,2,0,
bif,3,3,2,0,
bif,3,4,2,0,
bif,3,5,2,0,
ace,4,1,2,0,
ace,4,2,2,0,
ace,4,3,2,0,
ace,4,4,2,0,
ace,4,5,2,0,
cloth,5,1,2,0,
cloth,5,2,2,0,
cloth,5,3,2,1,
cloth,5,4,2,0,
cloth,5,5,2,0,
ace,5,1,2,0,
ace,5,2,2,0,
ace,5,3,2,0,
ace,5,4,2,0,
ace,5,5,2,0,
nov,4,1,2,2,
nov,4,2,2,0,
nov,4,3,2,2,
nov,4,4,2,0,
nov,4,5,2,1,
cloth,3,1,2,0,
cloth,3,2,2,0,
cloth,3,3,2,0,
cloth,3,4,2,0,
cloth,3,5,2,0,
cloth,2,1,2,0,
cloth,2,2,2,0,
cloth,2,3,2,0,
cloth,2,4,2,0,
cloth,2,5,2,0,
ace,1,1,2,0,
ace,1,2,2,0,
ace,1,3,2,0,
ace,1,4,2,0,
ace,1,5,2,0,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
